 Char |   Prob   |  Codeword  |  d 
------------------------------------
 ' '  | 0.145500 |        101 |  3
 'e'  | 0.094316 |        001 |  3
 'i'  | 0.084521 |       1111 |  4
 'u'  | 0.074962 |       1101 |  4
 's'  | 0.070843 |       1100 |  4
 't'  | 0.068607 |       1001 |  4
 'a'  | 0.066587 |       0111 |  4
 'n'  | 0.050363 |       0101 |  4
 'l'  | 0.049149 |       0100 |  4
 'r'  | 0.045620 |       0001 |  4
 'm'  | 0.039481 |      11101 |  5
 'o'  | 0.034738 |      10001 |  5
 'c'  | 0.033859 |      10000 |  5
 'd'  | 0.024122 |      01100 |  5
 'p'  | 0.020264 |     111001 |  6
 '.'  | 0.018775 |     011011 |  6
 'v'  | 0.014366 |     011010 |  6
 ','  | 0.012843 |     000011 |  6
 'q'  | 0.011083 |     000010 |  6
 'b'  | 0.010547 |     000000 |  6
 'g'  | 0.010361 |    1110001 |  7
 'f'  | 0.008468 |    1110000 |  7
 'h'  | 0.005018 |    0000010 |  7
 '\n' | 0.003214 |   00000111 |  8
 'x'  | 0.001553 |  000001101 |  9
 'j'  | 0.000757 | 0000011001 | 10
 ';'  | 0.000084 | 0000011000 | 10
------------------------------------
average codeword length:  4.165346
